"tree_Id","tree_desc","is_fertilised","is_watered","species_id","tree_location_id","location_type","degree_of_slope","aspect","distance_from_water","date_of_addition","tree_code_sms","deleted","added_by_user_id"
"1028","This is dummy text1","1","1","1047","0","Farmland","26","SouthWest","25","2010-06-01 00:00:00",,"1",NULL
"1027",,"1","1","1047","0","Campus","50","NorthEast","25","2010-06-07 00:00:00",,"1",NULL
"1029","This is dummy text for wood apple..","1","1","1153","0","Garden/Park","49","NorthEast","33","2010-06-21 00:00:00",,"1",NULL
"1026","Dummy Text","1","1","1160","0","Avenue","50","SouthWest","33","2010-06-30 00:00:00",,"1",NULL
"1025","Dummy text","1","1","1028","0","Garden/Park","49","NorthWest","25","2010-07-01 00:00:00",,"1",NULL
"1030","Enter your comments here
its the rainy season here but still it is having beautiful flowers.which started in the summer ,march-april 
      As its local name is april fool...its amazing to seeit flowering now days...only change is that in summer there is only flowers on the tree but now flower with leaves","1","2","1030","0","Campus","20","SouthEast","15","2010-07-07 00:00:00",,"1",NULL
"1031","Enter your comments here
","0","0","1093","462","Choose",NULL,"North",NULL,"2010-07-08 00:00:00",,"1",NULL
"1039","this is dummy text
","1","1","1009","0","Avenue","0","SouthEast","0","2010-07-18 00:00:00",,"1",NULL
"1032","Enter your comments here
","0","0","1090","463","Choose",NULL,"North",NULL,"2010-07-10 00:00:00",,"1",NULL
"1033","Enter your comments here
","0","0","1002","0","Avenue",NULL,"North",NULL,"2010-07-10 00:00:00",,"1",NULL
"1034","Large Pongamia on East edge of park
","2","1","1066","465","Garden/Park",NULL,"North",NULL,"2012-11-16 02:37:41",,"0",NULL
"1035","Enter your comments here
","1","2","1035","466","Marsh",NULL,"East","30","2010-07-11 00:00:00",,"1",NULL
"1036","Enter your comments here
","0","0","1090","467","Choose",NULL,"North",NULL,"2010-07-12 00:00:00",,"1",NULL
"1037","Enter your comments here
","1","1","1052","468","Garden/Park",NULL,"West","3","2010-07-12 00:00:00",,"1",NULL
"1038","Enter your comments here
","2","1","1079","469","Other",NULL,"North",NULL,"2010-07-18 00:00:00",,"1",NULL
"1040","this is dummy text","1","1","1005","471","Garden/Park","36","NorthWest","45","2010-07-20 00:00:00",,"1",NULL
"1041",,"0","0","1082","472","Choose",NULL,"North",NULL,"2010-07-20 00:00:00",,"1",NULL
"1042","Enter your comments here
","1","2","1035","0","Campus",NULL,"North",NULL,"2010-07-20 00:00:00",,"1",NULL
"1043","this is dummy text","1","1","1002","0","Garden/Park","36","East","45","2010-07-22 00:00:00",,"1",NULL
"1044","Enter your comments here
","0","0","1011","477","Campus",NULL,"North",NULL,"2010-07-22 00:00:00",,"1",NULL
"1045",,"0","0","1100","480","Choose",NULL,"North",NULL,"2010-07-26 00:00:00",,"1",NULL
"1046","this is dummy text","1","1","1000","482","Avenue","44","NorthEast","45","2010-07-26 00:00:00",,"1",NULL
"1047","Enter your comments here
","1","2","1009","483","Forest","4","East","5","2010-07-26 00:00:00",,"1",NULL
"1048"," ","0","0","1021","484","Choose",NULL,"North",NULL,"2010-07-29 00:00:00",,"1",NULL
"1049",,"0","0","1050","485","Choose",NULL,"North",NULL,"2010-08-01 00:00:00",,"1",NULL
"1050",,"0","0","1009","486","Choose",NULL,"North",NULL,"2010-08-01 00:00:00",,"1",NULL
"1051","this is dummy text","1","1","1094","0","Garden/Park","44","SouthWest","33","2010-08-03 00:00:00",,"1",NULL
"1052",,"0","0","1059","488","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1053",,"0","0","1000","489","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1054",,"0","0","1003","490","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1055",,"0","0","1000","490","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1056",,"0","0","1000","490","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1057","fghgf","1","1","1004","0","Farmland","0","East","22","2010-08-03 00:00:00",,"1",NULL
"1058",,"0","0","1008","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1059",,"0","0","1002","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1060",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1061",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1062",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1063",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1064",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1065",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1066",,"0","0","0","491","Choose",NULL,"North",NULL,"2010-08-03 00:00:00",,"1",NULL
"1067",,"0","0","1154","0","Choose",NULL,"North",NULL,"2010-08-04 00:00:00",,"1",NULL
